id_number,place,cat_place,age_category,sex,2.5km_seconds,5km_seconds,7.5km_seconds,total_seconds
19379,16631,3323,45-54,M,3870,4728,5505,3576
19380,32079,6907,35-44,M,,2743,3844,4958
19381,1297,50,20-22,M,3453,4055,4665,2533
19382,5033,1657,35-44,M,839,1539,2217,2924
19384,20330,3929,45-54,M,883,1732,2650,3793
19385,28464,6334,35-44,M,4203,5255,6377,4441
19386,16799,1016,55+,M,2896,3772,4646,3585
19387,4989,1319,23-34,M,,1649,2338,2920
19388,23478,4402,45-54,M,903,1806,2839,4012
19389,23870,4460,45-54,M,2919,3890,4844,4044
19390,2190,582,23-34,M,871,1522,2172,2667
19391,4898,1043,45-54,M,3804,4484,5130,2914
19392,12521,3464,35-44,M,2026,2838,3618,3372
19393,9140,325,20-22,M,845,1639,2385,3185
19394,3804,794,45-54,M,896,1573,2221,2830
19395,8660,441,55+,M,,2549,3285,3157
19396,20331,4362,23-34,M,884,1733,2650,3793
19397,11007,390,20-22,M,,4609,5392,3298
19398,5089,1074,45-54,M,856,1548,2223,2928
19399,1132,56,16-19,M,3387,3976,4597,2503
19401,1846,489,23-34,M,682,1304,1927,2625
19402,4090,159,20-22,M,909,1585,2247,2851
19403,21975,5279,35-44,M,1451,2399,3298,3904
19404,10915,3126,35-44,M,1795,2589,3366,3292
19405,5949,274,55+,M,3571,4280,4967,2981
19406,9893,2390,23-34,M,,2084,2845,3233
19407,23122,4355,45-54,M,1206,2133,3048,3988
19408,12059,2539,45-54,M,830,1599,2399,3349
19409,2554,904,35-44,M,736,1387,2024,2708
19411,27597,4962,45-54,M,4134,5140,6116,4349
19412,27817,4990,45-54,M,4291,5314,6333,4371
19413,16591,4301,35-44,M,,4666,5480,3574
19414,6498,1361,45-54,M,939,1659,2364,3014
19415,11082,2646,23-34,M,998,1791,2572,3301
19416,24063,5618,35-44,M,2803,3781,4753,4059
19418,5312,1740,35-44,M,3615,4323,5015,2942
19419,2858,596,45-54,M,744,1375,2012,2741
19420,2541,900,35-44,M,735,1387,2023,2707
19421,73,25,23-34,M,510,1011,1491,2059
19422,10306,2994,35-44,M,3750,4455,5235,3256
19423,282,101,35-44,M,588,1134,1664,2251
19424,5168,1377,23-34,M,868,1553,2227,2932
19425,5303,1734,35-44,M,,4708,5388,2941
19426,27607,719,20-22,M,,5773,6708,4350
19427,13390,3630,35-44,M,1936,2755,3545,3416
19430,27344,6183,35-44,M,4061,5063,6064,4327
19431,13993,3231,23-34,M,1991,2793,3590,3448
19432,8146,341,16-19,M,2714,3450,4178,3124
19433,1076,40,20-22,M,588,1172,1778,2490
19434,10559,592,55+,M,,4607,5394,3272
19435,278,81,23-34,M,551,1106,1643,2251
19436,8059,2471,35-44,M,3606,4365,5085,3119
19437,3884,151,20-22,M,761,1438,2089,2835
19438,32755,5614,45-54,M,4994,6220,7453,5107
19439,26270,4798,45-54,M,4334,5335,6314,4233
19440,1830,687,35-44,M,727,1361,1975,2622
19441,2961,810,23-34,M,761,1438,2090,2752
19443,14562,2965,45-54,M,3908,4726,5559,3476
19444,715,200,23-34,M,3384,3967,4552,2416
19445,13714,3692,35-44,M,3830,4639,5442,3433
19446,19467,1203,55+,M,,2260,3164,3738
19447,33371,6045,23-34,M,4384,5868,7050,5339
19448,23315,5491,35-44,M,4416,5352,6297,4001
19449,9388,2018,45-54,M,,4565,5328,3198
19450,20994,5083,35-44,M,4223,5136,6004,3838
19451,27653,720,20-22,M,,5773,6708,4353
19452,1694,345,45-54,M,1581,2213,2832,2600
19453,29175,5580,23-34,M,4671,5680,6683,4517
19454,28403,6329,35-44,M,3012,4065,5101,4435
19455,21725,5225,35-44,M,,5442,6317,3888
19456,27807,5399,23-34,M,4897,5836,6818,4371
19457,2333,639,23-34,M,792,1439,2044,2680
19458,28114,5442,23-34,M,4036,5096,6142,4404
19459,7349,2295,35-44,M,2635,3363,4082,3070
19460,1826,684,35-44,M,654,1273,1899,2621
19462,8977,2682,35-44,M,,4602,5353,3177
19463,2508,696,23-34,M,1587,2242,2877,2701
19464,32758,5615,45-54,M,5112,6375,7549,5107
19465,23190,657,20-22,M,3898,4843,5802,3993
19466,1423,387,23-34,M,680,1289,1881,2557
19467,17708,675,16-19,M,,5580,6445,3631
19468,2518,892,35-44,M,701,1341,1966,2702
19469,15929,4149,35-44,M,3830,4639,5443,3544
19470,356,132,35-44,M,551,1102,1645,2296
19471,885,248,23-34,M,606,1205,1781,2453
19473,22953,4742,23-34,M,3851,4801,5737,3976
19474,31750,6866,35-44,M,,3016,3794,4893
19477,3569,974,23-34,M,761,1437,2091,2810
19478,12555,2937,23-34,M,3856,4669,5440,3374
19481,6005,1583,23-34,M,,4825,5512,2985
19482,12774,522,16-19,M,2875,3790,4558,3385
19483,4056,1370,35-44,M,815,1468,2134,2849
19484,31700,6855,35-44,M,4821,5899,6953,4881
19485,10640,2542,23-34,M,1916,2680,3451,3276
19486,20878,4022,45-54,M,2055,2959,3873,3829
19487,30847,5777,23-34,M,4806,6022,7113,4751
19488,3715,1011,23-34,M,,2492,3151,2822
19489,32778,7012,35-44,M,1890,3115,4197,5115
19492,14882,3010,45-54,M,4015,4844,5634,3491
19493,17585,3917,23-34,M,4084,4933,5781,3624
19494,7481,1910,23-34,M,3949,4667,5367,3078
19495,8171,2495,35-44,M,1696,2413,3165,3125
19498,6705,1738,23-34,M,3593,4276,4986,3029
19499,8922,1916,45-54,M,3874,4619,5331,3173
19501,20367,4369,23-34,M,3882,4787,5651,3795
19502,16763,651,16-19,M,,5137,5972,3584
19503,17070,3829,23-34,M,,5604,6431,3597
19504,123,37,35-44,M,523,1047,1552,2132
19505,8575,434,55+,M,1691,2445,3208,3152
19506,1330,359,23-34,M,733,1345,1934,2539
19507,3904,1322,35-44,M,1617,2309,2991,2837
19509,1333,360,23-34,M,664,1287,1888,2540
19511,16796,3344,45-54,M,,5137,5971,3585
